Name,Quantity,Component
"U1",1," Arduino Uno R3"
"M1",1," DC Motor"
"T1",1," nMOS Transistor (MOSFET)"
"BAT1",1," 9V Battery"
"PING1",1," Ultrasonic Distance Sensor"
"U2",1,"5.1 V Zener Diode"
"R1",1,"10 kΩ Resistor"
